Stats,Aces,Aces Norm,Double faults,Double faults Norm,1st serves in,1st serves in Norm,1st serve points won,1st serve points won Norm,2nd serve points won,2nd serve points won Norm,Fastest serve,Fastest serve Norm,Average 1st serve speed,Average 1st serve speed Norm,Average 2nd serve speed,Average 2nd serve speed Norm,Net points won,Net points won Norm,Break points won,Break points won Norm,Receiving points won,Receiving points won Norm,Winners,Winners Norm,Unforced errors,Unforced errors Norm,Total points won,Total points won Norm,Distance Covered (M),Distance Covered (M) Norm,Dist. Covered/Pt. (M),Dist. Covered/Pt. (M) Norm,url
Novak Djokovic,7,0.3684210526315789,3,0.375,73/111 (66 %),0.66,54/73 (74 %),0.74,20/38 (53 %),0.53,199 KMH,199,185 KMH,185,153 KMH,153,11/14 (79 %),0.79,5/12 (42 %),0.42,49/111 (44 %),0.44,31,0.43661971830985913,41,0.3867924528301887,123,0.5540540540540541,3315.4,0.49222044064374365,14.9,0.49174917491749176,http://www.ausopen.com/en_AU/scores/stats/day19/1701ms.html
Andy Murray,12,0.631578947368421,5,0.625,71/111 (64 %),0.64,48/71 (68 %),0.68,14/40 (35 %),0.35,213 KMH,213,190 KMH,190,151 KMH,151,22/34 (65 %),0.65,2/6 (33 %),0.33,37/111 (33 %),0.33,40,0.5633802816901409,65,0.6132075471698113,99,0.44594594594594594,3420.2,0.5077795593562563,15.4,0.5082508250825083,http://www.ausopen.com/en_AU/scores/stats/day19/1701ms.html
Serena Williams,7,0.5833333333333334,6,0.6666666666666666,51/96 (53 %),0.53,35/51 (69 %),0.69,19/45 (42 %),0.42,196 KMH,196,172 KMH,172,144 KMH,144,15/32 (47 %),0.47,4/8 (50 %),0.5,31/80 (39 %),0.39,47,0.6527777777777778,46,0.7796610169491526,85,0.48295454545454547,1440.3,0.4751113310242454,8.2,0.4767441860465116,http://www.ausopen.com/en_AU/scores/stats/day18/2701ms.html
Angelique Kerber,5,0.4166666666666667,3,0.3333333333333333,44/80 (55 %),0.55,32/44 (73 %),0.73,17/36 (47 %),0.47,164 KMH,164,154 KMH,154,125 KMH,125,2/3 (67 %),0.67,5/9 (56 %),0.56,42/96 (44 %),0.44,25,0.3472222222222222,13,0.22033898305084745,91,0.5170454545454546,1591.2,0.5248886689757546,9.0,0.5232558139534884,http://www.ausopen.com/en_AU/scores/stats/day18/2701ms.html
Jamie Murray | Bruno Soares,3,0.6,7,0.7,61/99 (62 %),0.62,44/61 (72 %),0.72,18/38 (47 %),0.47,,,,,,,,,3/14 (21 %),0.21,35/100 (35 %),0.35,32,0.47058823529411764,16,0.5333333333333333,97,0.48743718592964824,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/3601ms.html
Daniel Nestor | Radek Stepanek,2,0.4,3,0.3,59/100 (59 %),0.59,39/59 (66 %),0.66,26/41 (63 %),0.63,,,,,,,,,3/8 (38 %),0.38,37/99 (37 %),0.37,36,0.5294117647058824,14,0.4666666666666667,102,0.5125628140703518,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/3601ms.html
Martina Hingis | Sania Mirza,,,5,0.7142857142857143,51/81 (63 %),0.63,28/51 (55 %),0.55,11/30 (37 %),0.37,,,,,,,,,8/17 (47 %),0.47,48/84 (57 %),0.57,34,0.5230769230769231,28,0.5384615384615384,87,0.5272727272727272,,,,,http://www.ausopen.com/en_AU/scores/stats/day17/4601ms.html
Andrea Hlavackova | Lucie Hradecka,,,2,0.2857142857142857,51/84 (61 %),0.61,22/51 (43 %),0.43,14/33 (42 %),0.42,,,,,,,,,6/14 (43 %),0.43,42/81 (52 %),0.52,31,0.47692307692307695,24,0.46153846153846156,78,0.4727272727272727,,,,,http://www.ausopen.com/en_AU/scores/stats/day17/4601ms.html
Elena Vesnina | Bruno Soares,3,0.25,3,0.5,44/60 (73 %),0.73,31/44 (70 %),0.7,9/16 (56 %),0.56,,,,,,,,,3/12 (25 %),0.25,28/67 (42 %),0.42,27,0.42857142857142855,10,0.47619047619047616,68,0.5354330708661418,,,,,http://www.ausopen.com/en_AU/scores/stats/day19/5501ms.html
Coco Vandeweghe | Horia Tecau,9,0.75,3,0.5,43/67 (64 %),0.64,30/43 (70 %),0.7,9/24 (38 %),0.38,,,,,,,,,3/8 (38 %),0.38,20/60 (33 %),0.33,36,0.5714285714285714,11,0.5238095238095238,59,0.4645669291338583,,,,,http://www.ausopen.com/en_AU/scores/stats/day19/5501ms.html
Oliver Anderson,4,0.5714285714285714,2,0.4,46/82 (56 %),0.56,31/46 (67 %),0.67,19/36 (53 %),0.53,190 KMH,190,177 KMH,177,148 KMH,148,6/15 (40 %),0.4,4/6 (67 %),0.67,32/72 (44 %),0.44,22,0.44,27,0.42857142857142855,82,0.5324675324675324,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/21601ms.html
Jurabeck Karimov,3,0.42857142857142855,3,0.6,45/72 (63 %),0.63,27/45 (60 %),0.6,13/27 (48 %),0.48,200 KMH,200,177 KMH,177,142 KMH,142,13/22 (59 %),0.59,2/9 (22 %),0.22,32/82 (39 %),0.39,28,0.56,36,0.5714285714285714,72,0.4675324675324675,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/21601ms.html
Vera Lapko,1,0.25,2,0.3333333333333333,39/73 (53 %),0.53,22/39 (56 %),0.56,20/34 (59 %),0.59,174 KMH,174,160 KMH,160,118 KMH,118,3/5 (60 %),0.6,4/9 (44 %),0.44,32/65 (49 %),0.49,28,0.6363636363636364,30,0.5263157894736842,74,0.5362318840579711,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/22601ms.html
Tereza Mihalikova,3,0.75,4,0.6666666666666666,40/65 (62 %),0.62,26/40 (65 %),0.65,7/25 (28 %),0.28,171 KMH,171,161 KMH,161,133 KMH,133,12/14 (86 %),0.86,2/4 (50 %),0.5,31/73 (42 %),0.42,16,0.36363636363636365,27,0.47368421052631576,64,0.463768115942029,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/22601ms.html
Lukas Klein | Patrik Rikl,3,0.375,4,0.6666666666666666,39/72 (54 %),0.54,28/39 (72 %),0.72,18/33 (55 %),0.55,,,,,,,,,3/3 (100 %),1.0,24/74 (32 %),0.32,41,0.6119402985074627,19,0.76,70,0.4794520547945205,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/23501ms.html
Alex De Minaur | Blake Ellis,5,0.625,2,0.3333333333333333,51/74 (69 %),0.69,35/51 (69 %),0.69,15/23 (65 %),0.65,,,,,,,,,2/5 (40 %),0.4,26/72 (36 %),0.36,26,0.3880597014925373,6,0.24,76,0.5205479452054794,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/23501ms.html
Dayana Yastremska | Anastasia Zarytska,0,0.0,3,0.5,26/45 (58 %),0.58,14/26 (54 %),0.54,5/19 (26 %),0.26,,,,,,,,,0/1 (0 %),0.0,10/38 (26 %),0.26,8,0.2962962962962963,22,0.5641025641025641,29,0.3493975903614458,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/24501ms.html
Anna Kalinskaya | Tereza Mihalikova,1,1.0,3,0.5,24/38 (63 %),0.63,18/24 (75 %),0.75,10/14 (71 %),0.71,,,,,,,,,5/14 (36 %),0.36,26/45 (58 %),0.58,19,0.7037037037037037,17,0.4358974358974359,54,0.6506024096385542,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/24501ms.html
Gordon Reid,3,0.6,5,0.45454545454545453,57/89 (64 %),0.64,33/57 (58 %),0.58,22/32 (69 %),0.69,143 KMH,143,122 KMH,122,112 KMH,112,10/15 (67 %),0.67,3/10 (30 %),0.3,34/82 (41 %),0.41,30,0.4838709677419355,22,0.4074074074074074,89,0.52046783625731,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/31301ms.html
Joachim Gerard,2,0.4,6,0.5454545454545454,55/82 (67 %),0.67,37/55 (67 %),0.67,11/27 (41 %),0.41,154 KMH,154,137 KMH,137,122 KMH,122,7/11 (64 %),0.64,2/7 (29 %),0.29,34/89 (38 %),0.38,32,0.5161290322580645,32,0.5925925925925926,82,0.47953216374269003,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/31301ms.html
Stephane Houdet | Nicolas Peifer,2,0.6666666666666666,2,0.2857142857142857,63/102 (62 %),0.62,35/63 (56 %),0.56,14/39 (36 %),0.36,,,,,,,,,9/21 (43 %),0.43,65/124 (52 %),0.52,37,0.47435897435897434,51,0.4473684210526316,114,0.504424778761062,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/32201ms.html
Gordon Reid | Shingo Kunieda,1,0.3333333333333333,5,0.7142857142857143,96/124 (77 %),0.77,47/96 (49 %),0.49,12/28 (43 %),0.43,,,,,,,,,8/17 (47 %),0.47,53/102 (52 %),0.52,41,0.5256410256410257,63,0.5526315789473685,112,0.49557522123893805,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/32201ms.html
Jiske Griffioen,0,0.0,5,0.38461538461538464,48/78 (62 %),0.62,27/48 (56 %),0.56,16/30 (53 %),0.53,125 KMH,125,114 KMH,114,108 KMH,108,4/6 (67 %),0.67,6/8 (75 %),0.75,33/60 (55 %),0.55,25,0.5681818181818182,30,0.45454545454545453,76,0.5507246376811594,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/33301ms.html
Aniek Van Koot,2,1.0,8,0.6153846153846154,36/60 (60 %),0.6,18/36 (50 %),0.5,9/24 (38 %),0.38,137 KMH,137,121 KMH,121,113 KMH,113,0/1 (0 %),0.0,4/9 (44 %),0.44,35/78 (45 %),0.45,19,0.4318181818181818,36,0.5454545454545454,62,0.4492753623188406,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/33301ms.html
Jiske Griffioen | Aniek Van Koot,2,1.0,6,1.0,34/57 (60 %),0.6,17/34 (50 %),0.5,9/23 (39 %),0.39,,,,,,,,,1/3 (33 %),0.33,18/50 (36 %),0.36,12,0.5714285714285714,48,0.7058823529411765,44,0.411214953271028,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/34201ms.html
Marjolein Buis | Yui Kamiji,0,0.0,0,0.0,31/50 (62 %),0.62,21/31 (68 %),0.68,11/19 (58 %),0.58,,,,,,,,,5/9 (56 %),0.56,31/57 (54 %),0.54,9,0.42857142857142855,20,0.29411764705882354,63,0.5887850467289719,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/34201ms.html
Dylan Alcott,1,1.0,4,0.6666666666666666,27/47 (57 %),0.57,18/27 (67 %),0.67,9/20 (45 %),0.45,124 KMH,124,115 KMH,115,105 KMH,105,11/11 (100 %),1.0,7/13 (54 %),0.54,35/53 (66 %),0.66,32,0.64,14,0.42424242424242425,62,0.62,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/35401ms.html
David Wagner,0,0.0,2,0.3333333333333333,37/53 (70 %),0.7,15/37 (41 %),0.41,3/16 (19 %),0.19,120 KMH,120,111 KMH,111,105 KMH,105,7/20 (35 %),0.35,3/3 (100 %),1.0,20/47 (43 %),0.43,18,0.36,19,0.5757575757575758,38,0.38,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/35401ms.html
David Wagner | Lucas Sithole,2,0.6666666666666666,0,0.0,27/40 (68 %),0.68,18/27 (67 %),0.67,11/13 (85 %),0.85,,,,,,,,,5/8 (63 %),0.63,25/47 (53 %),0.53,23,0.6764705882352942,11,0.39285714285714285,54,0.6206896551724138,,,,,http://www.ausopen.com/en_AU/scores/stats/day16/36101ms.html
Andrew Lapthorne | Dylan Alcott,1,0.3333333333333333,4,1.0,30/47 (64 %),0.64,14/30 (47 %),0.47,8/17 (47 %),0.47,,,,,,,,,1/1 (100 %),1.0,11/40 (28 %),0.28,11,0.3235294117647059,17,0.6071428571428571,33,0.3793103448275862,,,,,http://www.ausopen.com/en_AU/scores/stats/day16/36101ms.html
Jonas Bjorkman | Thomas Johansson,1,0.3333333333333333,3,0.75,36/53 (68 %),0.68,23/36 (64 %),0.64,9/17 (53 %),0.53,,,,,,,,,1/6 (17 %),0.17,,,1,0.3333333333333333,3,0.75,54,0.47368421052631576,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/44401ms.html
Thomas Enqvist | Magnus Norman,2,0.6666666666666666,1,0.25,45/61 (74 %),0.74,31/45 (69 %),0.69,8/16 (50 %),0.5,,,,,,,,,2/4 (50 %),0.5,,,2,0.6666666666666666,1,0.25,60,0.5263157894736842,,,,,http://www.ausopen.com/en_AU/scores/stats/day18/44401ms.html
